,id,title,overview,release_date,vote_average,vote_count,genre
555,9552,The Exorcist,"When a charming 12-year-old girl takes on the characteristics and voices of others, doctors say there is nothing they can do. As people begin to die, the girl's mother realizes her daughter has been possessed by the devil - and that her daughter's only possible hope lies with two priests and the ancient rite of demonic exorcism.",12/26/1973,7.731,8012,['Horror']
556,929563,Big City Greens the Movie: Spacecation,"When thrill-seeker Cricket tricks his family into taking a ""road trip"" in space, chaos in the cosmos quickly ensues. Despite growing frustrations between Cricket and his dad, Bill, the two must learn to appreciate each other's unique perspectives in order to prevent Big City from being destroyed by an interstellar disaster.",6/6/2024,7.6,29,"['Animation', 'Family', 'Comedy', 'Music', 'TV Movie']"
557,1048241,My Spy The Eternal City,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear plot targeting the Vatican.",7/18/2024,6.7,353,"['Action', 'Comedy']"
558,766507,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",8/2/2022,7.706,6791,"['Thriller', 'Action', 'Science Fiction']"
559,1127166,The Tearsmith,"Adopted together after a tough childhood in an orphanage, Nica and Rigel realize that unexpected but irresistible feelings pull them together.",4/3/2024,6.5,811,"['Romance', 'Drama']"
560,1214509,In a Violent Nature,"The enigmatic resurrection, rampage, and retribution of an undead monster in a remote wilderness unleashes an iconic new killer after a locket is removed from a collapsed fire tower that entombed its rotting corpse.",5/31/2024,5.9,277,"['Horror', 'Thriller']"
561,827931,Time Cut,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?",10/29/2024,5.6,407,"['Horror', 'Science Fiction', 'Thriller']"
562,102651,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",5/28/2014,7.091,13142,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']"
563,247136,The Temptation of Kimono,"Mikage will get married to Youiti next year, she agrees to live with Youiti's parents. One day, Youiti's father disrobed Mikage's Kimono and raped her. To her astonishment, her fiancé Youiti whom Mikage considers true love has an affair with his young stepmother. Shocked and devastated, what will Mikage do?",3/27/2009,5.8,18,"['Drama', 'Romance']"
564,1174618,Alice in Terrorland,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",12/26/2023,5.991,171,"['Horror', 'Thriller']"
565,8355,Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",6/26/2009,6.8,8335,"['Animation', 'Comedy', 'Family', 'Adventure']"
566,508943,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,6/17/2021,7.812,8398,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']"
567,634492,Madame Web,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",2/14/2024,5.4,2055,"['Action', 'Fantasy']"
568,820530,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,"Takato Saijo has reigned as the idol industry's ""Most Huggable"" for five years, that is, until freshman actor Azumaya. Takato was always considered brusque while Azumaya's smile is winning over admirers by comparison. The whole fiasco drives Takuto to over indulge in alcohol and his actions catch the attention of the last person he wants to see. To his surprise, Azumaya uses this new info to blackmail Takuto for physical affection.",10/9/2021,7.5,15,"['Animation', 'Drama', 'Comedy', 'Romance']"
569,1125311,Imaginary,"When Jessica moves back into her childhood home with her family, her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning, Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be.",3/6/2024,6.016,532,"['Horror', 'Mystery']"
570,1119550,The Little Escapade,"To overcome their financial problems, Justine, her husband and their whole group of friends organize a fake romantic cruise for Franck, a big investor, who is trying to seduce a woman.",6/5/2024,5.9,49,['Comedy']
571,105,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",7/3/1985,8.318,20120,"['Adventure', 'Comedy', 'Science Fiction']"
572,1214484,Let Go,A jaded mother makes a last-ditch effort to keep her family together by taking them on a trip to their teenage daughter’s pole dancing competition.,11/1/2024,7.897,271,['Drama']
573,1358752,Skinford 2: The Curse,"SKINNY and ZOPHIA work together to decipher the true cause of her immortal curse, all while the entire town hunts them down.",5/20/2024,5.818,11,"['Thriller', 'Action']"
574,1075794,Leo,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",11/17/2023,7.448,1183,"['Animation', 'Comedy', 'Family']"
575,1205025,Foursome,"A married couple having troubles in bed, finding their sexual satisfaction outside their marriage.",12/22/2023,4.5,4,"['Romance', 'Drama']"
